errorAileron,errorRudder,errorElevator,P_des.x,P_des.y,P_des.z,P_is.x,P_is.y,P_is.z,L_is.x,L_is.y,L_is.z,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,ACMDb.x,ACMD.y,ACMDb.z,Throttle
0.001191,-0.000019,-0.006793,-365.0000,-338.4962,-0.870000,-0.001244,4.428496,-0.411600,-0.001373,54.03510,0.012950,0.000185,0.006286,0.067640,0.000007,-0.000019,-0.006793,-0.897137,-0.001191,9.762097,4.447580,0.001760,-0.004880
-0.000486,-0.000002,-0.007295,-365.0000,-338.3962,-0.870000,-0.000266,4.589269,-0.423014,-0.001281,53.59039,0.013549,0.000026,0.006696,0.072649,0.000007,-0.000002,-0.007295,-0.889809,0.000486,9.762265,4.608720,0.000800,-0.005000
-0.000704,0.000020,-0.008011,-365.0000,-338.2962,-0.870000,0.000958,4.808391,-0.437715,-0.001373,52.91638,0.014369,-0.000197,0.007263,0.079785,0.000008,0.000020,-0.008011,-0.879257,0.000704,9.762505,4.828270,-0.000400,-0.004980
0.000357,0.000033,-0.008719,-365.0000,-338.1962,-0.870000,0.001583,5.012722,-0.451252,-0.001556,52.26144,0.015130,-0.000332,0.007817,0.086843,0.000008,0.000033,-0.008719,-0.869779,-0.000357,9.762646,5.032990,-0.000950,-0.005030
0.001627,0.000033,-0.009299,-365.0000,-338.0962,-0.870000,0.001586,5.173159,-0.461704,-0.001739,51.74634,0.015729,-0.000352,0.008267,0.092628,0.000008,0.000033,-0.009299,-0.863037,-0.001627,9.762664,5.193720,-0.000880,-0.004800
0.002510,0.000030,-0.009853,-365.0000,-337.9962,-0.870000,0.001392,5.318908,-0.471337,-0.001861,51.27039,0.016240,-0.000329,0.008697,0.098144,0.000008,0.000030,-0.009853,-0.857662,-0.002510,9.762582,5.339750,-0.000560,-0.004510
0.002914,0.000017,-0.010818,-365.0000,-337.8962,-0.870000,0.000679,5.551548,-0.487487,-0.002105,50.41565,0.016990,-0.000201,0.009463,0.107772,0.000008,0.000017,-0.010818,-0.850822,-0.002914,9.762215,5.572910,0.000190,-0.004160
0.002725,0.000011,-0.011190,-365.0000,-337.7962,-0.870000,0.000382,5.638320,-0.493792,-0.002166,50.14706,0.017259,-0.000141,0.009762,0.111476,0.000008,0.000011,-0.011190,-0.848671,-0.002725,9.762030,5.659900,0.000500,-0.004160
0.001078,-0.000003,-0.012268,-365.0000,-337.6962,-0.870000,-0.000360,5.868159,-0.510597,-0.002166,49.23654,0.017989,0.000023,0.010634,0.122220,0.000008,-0.000003,-0.012268,-0.843491,-0.001078,9.761400,5.890330,0.001220,-0.004140
-0.000677,-0.000006,-0.013050,-365.0000,-337.5962,-0.870000,-0.000578,6.024773,-0.522310,-0.002105,48.61850,0.018500,0.000078,0.011271,0.130016,0.000009,-0.000006,-0.013050,-0.840167,0.000677,9.760905,6.047370,0.001400,-0.004400
