VxL.x,VxL.y,VxL.z,normL,errorAileron,errorRudder,errorElevator,errorThrottle,P_des.x,P_des.y,P_des.z,P_is.x,P_is.y,P_is.z,L_is.x,L_is.y,L_is.z,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,ACMDb.x,ACMD.y,ACMDb.z
12.54652,-0.007028,-0.140567,0.000199,0.008410,0.000087,-0.007266,0.500000,0.000000,0.000000,0.000000,-364.9986,-395.6237,-0.879400,0.000000,100.0000,-5.000000,0.000081,0.000675,0.007234,0.000001,-0.000087,0.007266,0.911309,0.008410,-9.760310
13.08444,-0.006408,-0.128170,0.000199,0.006560,0.000081,-0.007830,0.500000,0.000000,0.000000,0.000000,-364.9988,-395.3332,-0.879480,0.000000,100.0000,-5.000000,0.000076,0.000731,0.007796,0.000003,-0.000081,0.007830,0.911410,0.006559,-9.759738
13.68927,-0.004287,-0.085757,0.000199,0.004533,0.000057,-0.008545,0.500000,0.000000,0.000000,0.000000,-364.9989,-394.9310,-0.879770,0.000000,100.0000,-5.000000,0.000053,0.000799,0.008508,0.000007,-0.000057,0.008545,0.908971,0.004533,-9.759251
14.13260,-0.001549,-0.030987,0.000199,0.003298,0.000023,-0.009156,0.500000,0.000000,0.000000,0.000000,-364.9990,-394.5475,-0.880150,0.000000,100.0000,-5.000000,0.000020,0.000854,0.009116,0.000010,-0.000023,0.009156,0.904578,0.003298,-9.759049
14.49625,0.002124,0.042489,0.000199,0.003054,-0.000025,-0.009765,0.500000,0.000000,0.000000,0.000000,-364.9990,-394.1128,-0.880640,0.000000,100.0000,-5.000000,-0.000028,0.000905,0.009723,0.000011,0.000025,0.009765,0.898327,0.003054,-9.759017
14.72372,0.004750,0.095009,0.000199,0.003579,-0.000062,-0.010234,0.500000,0.000000,0.000000,0.000000,-364.9989,-393.7377,-0.881059,0.000000,100.0000,-5.000000,-0.000066,0.000942,0.010191,0.000010,0.000062,0.010234,0.892661,0.003579,-9.759067
14.92169,0.006237,0.124746,0.000199,0.004383,-0.000084,-0.010692,0.500000,0.000000,0.000000,0.000000,-364.9988,-393.3507,-0.881440,0.000000,100.0000,-5.000000,-0.000089,0.000976,0.010647,0.000009,0.000084,0.010692,0.886994,0.004383,-9.759125
15.14347,0.006156,0.123127,0.000199,0.005458,-0.000085,-0.011209,0.500000,0.000000,0.000000,0.000000,-364.9986,-392.9115,-0.881810,0.000000,100.0000,-5.000000,-0.000091,0.001015,0.011162,0.000008,0.000085,0.011209,0.881521,0.005458,-9.759104
15.52878,0.004530,0.090600,0.000199,0.006510,-0.000062,-0.011960,0.500000,0.000000,0.000000,0.000000,-364.9985,-392.3320,-0.882220,0.000000,100.0000,-5.000000,-0.000069,0.001076,0.011911,0.000008,0.000062,0.011960,0.876147,0.006510,-9.758836
15.82604,0.002851,0.057039,0.000199,0.006778,-0.000036,-0.012528,0.500000,0.000000,0.000000,0.000000,-364.9984,-391.9039,-0.882530,0.000000,100.0000,-5.000000,-0.000045,0.001123,0.012477,0.000009,0.000036,0.012528,0.872533,0.006778,-9.758589
