0.296071,L_is.x,L_is.y,L_is.z,Delta_L,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,Throttle,Aileron,Rudder,Elevator
-0.907151,-48.58017,-87.77325,8.042015,90.64219,0.287388,-0.843236,0.177148,0.249348,-0.787752,-0.377218,18.12844,nan,-1.438766,1.287470
-0.996514,-49.52448,-87.56360,7.472255,90.87563,0.275436,-0.901938,0.199159,0.262071,-0.839582,-0.394262,18.17513,nan,-1.451070,1.303776
-1.069424,-50.16541,-87.34525,7.081255,90.97477,0.265062,-0.943922,0.214349,0.270835,-0.876923,-0.406011,18.19495,nan,-1.457485,1.315677
-1.123466,-50.57065,-87.12874,6.827615,90.97239,0.257547,-0.971423,0.224130,0.276446,-0.901604,-0.413418,18.19448,nan,-1.460712,1.323584
-1.318259,-51.64120,-86.86671,6.193955,91.24725,0.233481,-1.045350,0.249170,0.291265,-0.968281,-0.432377,18.24945,nan,-1.465688,1.345864
nan,-52.14362,-86.62839,5.887795,91.28228,0.220201,-1.081492,0.260929,0.298370,-1.001311,-0.441078,18.25646,nan,-1.466468,1.356922
nan,-52.82166,-86.36729,5.483425,91.38789,0.200159,-1.131087,0.276311,0.308162,-1.046897,-0.452561,18.27758,nan,-1.465972,1.372271
nan,-53.42261,-86.10413,5.124535,91.46012,0.180425,-1.175826,0.289410,0.317160,-1.088247,-0.462608,18.29202,nan,-1.464280,1.386029
nan,-54.11816,-85.82039,4.714415,91.56841,0.155311,-1.228068,0.303573,0.328095,-1.136642,-0.474160,18.31368,nan,-1.461008,1.401878
nan,-54.73431,-85.53674,4.350716,91.64304,0.131090,-1.274790,0.315234,0.338327,-1.180046,-0.484430,18.32861,nan,-1.457143,1.415687
nan,-55.80688,-85.16963,3.736835,91.89327,0.084662,-1.355990,0.332806,0.357332,-1.255588,-0.502442,18.37865,nan,-1.448311,1.439024
nan,-56.35086,-84.87447,3.417855,91.93515,0.059123,-1.397830,0.340920,0.367687,-1.294859,-0.511662,18.38703,nan,-1.443071,1.450499
nan,-57.08395,-84.53510,2.997245,92.04775,0.022688,-1.453877,0.350402,0.382337,-1.347735,-0.523913,18.40955,nan,-1.434910,1.465727
nan,-58.01285,-84.14015,2.473586,92.23098,-0.026567,-1.524296,0.360011,0.402102,-1.414668,-0.539275,18.44620,nan,-1.423055,1.484438
nan,-58.67117,-83.78963,2.099296,92.31039,-0.063448,-1.574026,0.365443,0.417016,-1.462371,-0.550182,18.46208,nan,-1.413999,1.497117
nan,-59.24060,-83.45110,1.774635,92.35567,-0.096501,-1.616755,0.369143,0.430577,-1.503582,-0.559749,18.47114,nan,-1.405907,1.507565
nan,-60.39349,-82.94704,1.143006,92.61039,-0.165832,-1.700336,0.372482,0.459867,-1.584140,-0.580007,18.52208,nan,-1.389000,1.526817
nan,-61.07437,-82.55254,0.765095,92.69170,-0.208155,-1.748963,0.372690,0.478615,-1.631041,-0.593070,18.53834,nan,-1.379593,1.536592
nan,-61.66269,-82.17555,0.437825,92.73899,-0.245284,-1.790325,0.371744,0.495729,-1.670746,-0.605374,18.54780,nan,-1.372156,1.543842
nan,-62.15619,-81.82065,0.161515,92.75231,-0.276737,-1.824615,0.370198,0.510782,-1.703442,-0.616632,18.55046,nan,-1.366619,1.548958
nan,-63.25180,-81.25569,-0.422774,92.97308,-0.346334,-1.896798,0.362813,0.546149,-1.770359,-0.645735,18.59462,nan,-1.356890,1.556587
nan,-64.15790,-80.73170,-0.904374,93.12450,-0.403839,-1.954561,0.353847,0.577980,-1.821512,-0.675747,18.62490,nan,-1.353132,1.558214
nan,-64.76651,-80.30263,-1.231774,93.17330,-0.442339,-1.992746,0.346534,0.600936,-1.853556,-0.699994,18.63466,nan,-1.353559,1.556379
nan,-65.37854,-79.86276,-1.558714,93.22231,-0.480690,-2.030403,0.337908,0.625412,-1.883075,-0.728468,18.64446,nan,-1.356757,1.551762
nan,-66.40576,-79.23834,-2.088824,93.40601,-0.544001,-2.091430,0.319864,0.669907,-1.924415,-0.787517,18.68120,nan,-1.369089,1.536762
nan,-67.23349,-78.67567,-2.515144,93.52068,-0.594634,-2.140079,0.302412,0.709572,-1.950001,-0.847928,18.70414,nan,-1.386774,1.516640
nan,-68.06583,-78.09145,-2.939474,93.63335,-0.645384,-2.188536,0.281760,0.753395,-1.966388,-0.922667,18.72667,nan,-1.412369,1.487613
