0.296071,L_is.x,L_is.y,L_is.z,Delta_L,aCMDin.x,aCMDin.y,aCMDin.z,aCMDb.x,aCMDb.y,aCMDb.z,Throttle,Aileron,Rudder,Elevator
-0.016869,0.039123,-40.89191,-1.225228,30.91028,-0.021061,-1.494007,-2.567476,-0.294667,-0.016868,-2.955896,6.182056,nan,0.022262,1.193969
-0.013887,0.044158,-41.74335,-1.134638,31.75879,-0.021521,-1.650370,-2.610658,-0.339761,-0.013887,-3.069867,6.351758,nan,0.021066,1.149562
-0.010485,0.048431,-42.36234,-1.060458,32.37563,-0.021291,-1.771255,-2.632601,-0.375838,-0.010485,-3.150717,6.475127,nan,0.019659,1.115866
-0.004563,0.054351,-43.21552,-0.948988,33.22597,-0.020187,-1.914706,-2.636894,-0.421313,-0.004563,-3.231438,6.645194,nan,0.017182,1.076975
0.003017,0.060760,-44.06766,-0.825958,34.07544,-0.018248,-2.043960,-2.621194,-0.465702,0.003017,-3.291181,6.815088,nan,0.013888,1.042723
0.008914,0.065155,-44.56787,-0.744278,34.57413,-0.016492,-2.124598,-2.605566,-0.495111,0.008914,-3.325349,6.914827,nan,0.011244,1.021519
0.019123,0.071990,-45.41568,-0.602488,35.41973,-0.013204,-2.225896,-2.563573,-0.536156,0.019121,-3.352441,7.083946,nan,0.006573,0.995564
0.027930,0.077392,-46.02805,-0.489108,36.03071,-0.010121,-2.295507,-2.525906,-0.566908,0.027927,-3.365634,7.206142,nan,0.002316,0.977874
0.034675,0.081237,-46.40674,-0.409898,36.40862,-0.007697,-2.342447,-2.499077,-0.588686,0.034668,-3.374129,7.281724,nan,-0.001040,0.965950
0.047038,0.088104,-47.24475,-0.243238,37.24546,-0.002922,-2.406363,-2.435833,-0.623492,0.047020,-3.366440,7.449091,nan,-0.007691,0.950139
0.060824,0.095306,-48.19211,-0.044048,38.19222,0.002810,-2.460412,-2.358918,-0.658503,0.060786,-3.343771,7.638444,nan,-0.015895,0.936854
0.071398,0.100677,-48.90512,0.119902,38.90537,0.007616,-2.495824,-2.296922,-0.684819,0.071337,-3.321291,7.781075,nan,-0.022935,0.928045
0.080107,0.104919,-49.50024,0.266942,39.50108,0.011865,-2.521669,-2.242729,-0.706642,0.080021,-3.298946,7.900215,nan,-0.029344,0.921528
0.089289,0.109100,-50.20453,0.444572,40.20662,0.016710,-2.543034,-2.178654,-0.729341,0.089170,-3.267100,8.041324,nan,-0.036976,0.916001
0.096695,0.112152,-50.79175,0.603192,40.79546,0.020912,-2.558185,-2.123515,-0.748114,0.096544,-3.238065,8.159091,nan,-0.043884,0.911859
0.104264,0.114715,-51.48672,0.793632,41.49297,0.025615,-2.569094,-2.059295,-0.767512,0.104075,-3.200264,8.298594,nan,-0.052066,0.908486
0.111786,0.116302,-52.28745,1.018112,42.29749,0.030758,-2.575011,-1.986491,-0.787062,0.111553,-3.153706,8.459497,nan,-0.061671,0.905870
0.119734,0.116058,-53.30154,1.307572,43.31771,0.036733,-2.574169,-1.896937,-0.807800,0.119448,-3.091804,8.663542,nan,-0.074009,0.903981
0.123154,0.115081,-53.65005,1.431972,43.66928,0.039440,-2.577648,-1.860744,-0.818184,0.122843,-3.069800,8.733857,nan,-0.079783,0.901937
0.129523,0.110748,-54.64938,1.737522,44.67711,0.044947,-2.569965,-1.773230,-0.835504,0.129161,-3.006049,8.935422,nan,-0.093136,0.900440
0.134564,0.104003,-55.53064,2.022492,45.56755,0.049647,-2.560901,-1.695619,-0.849687,0.134158,-2.948870,9.113511,nan,-0.105901,0.898677
0.137845,0.097503,-56.08234,2.220832,46.12638,0.052806,-2.556059,-1.643770,-0.859681,0.137409,-2.912090,9.225276,nan,-0.115178,0.896575
0.140189,0.091918,-56.41660,2.359172,46.46598,0.055001,-2.554614,-1.608655,-0.867282,0.139731,-2.888796,9.293196,nan,-0.121943,0.894345
0.144200,0.076568,-57.38406,2.694232,47.44733,0.059263,-2.538278,-1.525042,-0.878898,0.143701,-2.824713,9.489466,nan,-0.137481,0.891593
0.146834,0.062652,-58.02621,2.938012,48.10058,0.062099,-2.527398,-1.466527,-0.887102,0.146307,-2.780996,9.620116,nan,-0.149177,0.888624
0.149070,0.046142,-58.66241,3.186252,48.74890,0.064629,-2.515313,-1.408553,-0.894469,0.148519,-2.737310,9.749780,nan,-0.161184,0.885308
0.150325,0.036956,-58.87827,3.301983,48.97079,0.065890,-2.513185,-1.382206,-0.899384,0.149759,-2.720222,9.794159,nan,-0.167249,0.882569
0.152071,0.013641,-59.60837,3.591152,49.71645,0.068117,-2.496171,-1.317369,-0.905695,0.151485,-2.669783,9.943290,nan,-0.181227,0.878516
0.153058,-0.003936,-60.02411,3.780052,50.14302,0.069430,-2.486789,-1.276111,-0.910332,0.152462,-2.639214,10.02860,nan,-0.190659,0.874985
0.153521,-0.051788,-61.24716,4.255652,51.39486,0.071341,-2.450762,-1.176001,-0.915050,0.152918,-2.556090,10.27897,nan,-0.213072,0.868550
0.153043,-0.087829,-61.95172,4.559893,52.11937,0.072015,-2.428442,-1.114748,-0.917713,0.152447,-2.505941,10.42387,nan,-0.227540,0.863427
0.152667,-0.109710,-62.25070,4.721792,52.42962,0.072250,-2.418795,-1.082868,-0.920025,0.152075,-2.481697,10.48592,nan,-0.235502,0.859782
0.150563,-0.157806,-63.04102,5.069132,53.24469,0.072021,-2.389935,-1.016896,-0.920449,0.149995,-2.425145,10.64894,nan,-0.251410,0.853966
0.148961,-0.189453,-63.43027,5.271652,53.64923,0.071619,-2.374685,-0.979483,-0.921146,0.148411,-2.394391,10.72985,nan,-0.260751,0.849759
0.147350,-0.217407,-63.71848,5.438222,53.95049,0.071142,-2.362553,-0.949285,-0.921807,0.146818,-2.369931,10.79010,nan,-0.268412,0.846037
0.140250,-0.303863,-64.87149,5.945583,55.14409,0.068578,-2.312574,-0.862403,-0.916336,0.139791,-2.288499,11.02882,nan,-0.289297,0.838270
0.135350,-0.358795,-65.43533,6.229882,55.73221,0.066644,-2.285571,-0.815950,-0.913226,0.134937,-2.245409,11.14644,nan,-0.300663,0.833247
0.132068,-0.395294,-65.70926,6.401043,56.02148,0.065298,-2.270698,-0.788598,-0.911866,0.131685,-2.221120,11.20430,nan,-0.307516,0.829663
0.120604,-0.506042,-66.82202,6.919763,57.18126,0.060610,-2.214454,-0.711340,-0.901149,0.120312,-2.141714,11.43625,nan,-0.325985,0.822399
0.115370,-0.557556,-67.17819,7.131992,57.55802,0.058377,-2.193383,-0.680997,-0.897339,0.115115,-2.111782,11.51160,nan,-0.333438,0.818631
0.108787,-0.620727,-67.62210,7.383792,58.02686,0.055567,-2.167063,-0.646416,-0.891860,0.108573,-2.076030,11.60537,nan,-0.341860,0.814591
0.097601,-0.726745,-68.42331,7.792442,58.86944,0.050723,-2.121151,-0.593547,-0.880589,0.097446,-2.017231,11.77389,nan,-0.354528,0.809042
0.087982,-0.819732,-69.03271,8.124243,59.51396,0.046508,-2.083964,-0.552908,-0.870902,0.087869,-1.970935,11.90279,nan,-0.364340,0.804468
0.084909,-0.851959,-69.10056,8.221672,59.59316,0.045102,-2.075390,-0.540854,-0.869156,0.084807,-1.959382,11.91863,nan,-0.367469,0.802238
0.072497,-0.975494,-69.87430,8.632742,60.41231,0.039633,-2.027540,-0.494531,-0.855266,0.072433,-1.902715,12.08246,nan,-0.378688,0.797258
0.063365,-1.070648,-70.37427,8.926513,60.94622,0.035549,-1.993982,-0.463187,-0.845113,0.063322,-1.863745,12.18924,nan,-0.386430,0.793471
0.057680,-1.132446,-70.60822,9.102623,61.20155,0.032952,-1.974966,-0.444851,-0.839360,0.057648,-1.841635,12.24031,nan,-0.391077,0.790764
0.049579,-1.221771,-71.01123,9.357083,61.63548,0.029256,-1.946008,-0.419612,-0.830001,0.049558,-1.809011,12.32710,nan,-0.397408,0.787409
0.034287,-1.396759,-71.91714,9.846122,62.60147,0.022236,-1.887737,-0.374526,-0.809768,0.034280,-1.745684,12.52029,nan,-0.408534,0.781909
0.026144,-1.495850,-72.30521,10.09964,63.02248,0.018380,-1.858849,-0.352054,-0.799523,0.026141,-1.714548,12.60450,nan,-0.414178,0.778408
0.019199,-1.583496,-72.60501,10.31366,63.35098,0.015058,-1.834788,-0.333706,-0.790818,0.019198,-1.688866,12.67020,nan,-0.418830,0.775310
0.012283,-1.673645,-72.90100,10.52723,63.67619,0.011729,-1.810757,-0.316036,-0.781898,0.012283,-1.663533,12.73524,nan,-0.423336,0.772191
-0.000357,-1.845245,-73.60037,10.93401,64.43099,0.005683,-1.762838,-0.284613,-0.763339,-0.000357,-1.614295,12.88620,nan,-0.431202,0.767138
-0.008204,-1.958771,-73.96594,11.18449,64.83241,0.001845,-1.734145,-0.266032,-0.751963,-0.008204,-1.585092,12.96648,nan,-0.435916,0.763580
-0.016995,-2.092529,-74.40594,11.47240,65.31427,-0.002468,-1.700834,-0.245744,-0.738418,-0.016994,-1.551670,13.06285,nan,-0.441005,0.759609
-0.024552,-2.213074,-74.76035,11.72066,65.70589,-0.006206,-1.672313,-0.228977,-0.726565,-0.024550,-1.523352,13.14118,nan,-0.445194,0.756046
-0.034120,-2.372864,-75.26547,12.04378,66.25991,-0.010891,-1.634642,-0.208507,-0.710519,-0.034113,-1.486489,13.25198,nan,-0.450230,0.751722
-0.040381,-2.482361,-75.53079,12.25132,66.55820,-0.014003,-1.611122,-0.195867,-0.700257,-0.040370,-1.463653,13.31164,nan,-0.453350,0.748611
-0.049625,-2.650970,-76.02167,12.57066,67.09956,-0.018518,-1.574078,-0.177758,-0.683730,-0.049605,-1.428186,13.41991,nan,-0.457628,0.744306
-0.058692,-2.824738,-76.50406,12.88746,67.63335,-0.022917,-1.537433,-0.160936,-0.666992,-0.058658,-1.393487,13.52667,nan,-0.461385,0.740027
-0.065620,-2.963470,-76.82892,13.12755,67.99870,-0.026275,-1.510040,-0.148839,-0.654222,-0.065573,-1.367756,13.59974,nan,-0.463934,0.736637
-0.075173,-3.166901,-77.36990,13.47607,68.59857,-0.030819,-1.469837,-0.132749,-0.635125,-0.075102,-1.330402,13.71971,nan,-0.467055,0.732149
-0.080709,-3.291901,-77.60953,13.67538,68.87389,-0.033535,-1.447489,-0.123906,-0.624271,-0.080622,-1.309766,13.77478,nan,-0.468685,0.729198
-0.083453,-3.355255,-77.62796,13.76451,68.91020,-0.034982,-1.438182,-0.119826,-0.619612,-0.083356,-1.301185,13.78204,nan,-0.469445,0.727406
-0.092063,-3.570221,-78.14938,14.10568,69.49241,-0.039137,-1.399214,-0.106326,-0.600412,-0.091933,-1.265579,13.89848,nan,-0.471707,0.722934
-0.100069,-3.791016,-78.66061,14.44267,70.06532,-0.043073,-1.361046,-0.094065,-0.581269,-0.099902,-1.230973,14.01306,nan,-0.473709,0.718360
-0.106006,-3.971771,-79.02234,14.70512,70.47699,-0.046125,-1.331738,-0.085093,-0.566324,-0.105808,-1.204564,14.09540,nan,-0.475200,0.714461
-0.109553,-4.086578,-79.17014,14.86018,70.65628,-0.048071,-1.314874,-0.079890,-0.557549,-0.109334,-1.189441,14.13126,nan,-0.476104,0.711748
-0.114827,-4.273193,-79.52142,15.11789,71.05842,-0.050916,-1.286348,-0.071955,-0.542751,-0.114575,-1.163939,14.21168,nan,-0.477511,0.707697
-0.119699,-4.463287,-79.86633,15.37257,71.45470,-0.053630,-1.258315,-0.064615,-0.528079,-0.119414,-1.138982,14.29094,nan,-0.478879,0.703561
-0.123660,-4.632446,-80.13791,15.59037,71.77165,-0.055933,-1.234571,-0.058713,-0.515500,-0.123345,-1.117939,14.35433,nan,-0.480060,0.699828
-0.128759,-4.878632,-80.60324,15.90587,72.30237,-0.058922,-1.200091,-0.051001,-0.497170,-0.128404,-1.087485,14.46047,nan,-0.481713,0.694653
-0.132470,-5.079315,-80.92847,16.15059,72.68046,-0.061230,-1.173664,-0.045498,-0.482913,-0.132083,-1.064263,14.53609,nan,-0.483020,0.690369
-0.137297,-5.386475,-81.50461,16.52138,73.33649,-0.064290,-1.133536,-0.038220,-0.461178,-0.136866,-1.029116,14.66730,nan,-0.484944,0.684163
-0.140133,-5.595245,-81.81430,16.75757,73.70007,-0.066269,-1.108227,-0.034145,-0.447185,-0.139674,-1.007095,14.74002,nan,-0.486230,0.679937
-0.142677,-5.807129,-82.11789,16.99017,74.05794,-0.068132,-1.083365,-0.030628,-0.433266,-0.142193,-0.985556,14.81159,nan,-0.487467,0.675737
-0.144422,-5.968079,-82.29153,17.15720,74.27267,-0.069544,-1.065636,-0.028354,-0.423144,-0.143921,-0.970286,14.85454,nan,-0.488383,0.672480
-0.146714,-6.212646,-82.64563,17.41376,74.68847,-0.071390,-1.038266,-0.025386,-0.407553,-0.146188,-0.946713,14.93769,nan,-0.489678,0.667816
-0.149040,-6.516663,-83.11258,17.72511,75.23114,-0.073385,-1.005057,-0.022554,-0.388497,-0.148489,-0.918179,15.04623,nan,-0.491162,0.662316
-0.150353,-6.713043,-83.33109,17.91205,75.49840,-0.074676,-0.985179,-0.021228,-0.376828,-0.149787,-0.901204,15.09968,nan,-0.492072,0.658761
-0.151586,-6.940125,-83.60379,18.12473,75.82695,-0.075994,-0.962541,-0.020152,-0.363483,-0.151006,-0.881898,15.16539,nan,-0.493068,0.654916
-0.152499,-7.141083,-83.81262,18.30492,76.08496,-0.077100,-0.943370,-0.019615,-0.352013,-0.151909,-0.865613,15.21699,nan,-0.493945,0.651664
-0.153164,-7.315002,-83.95950,18.45392,76.27430,-0.078038,-0.927499,-0.019417,-0.342384,-0.152566,-0.852185,15.25486,nan,-0.494682,0.648913
-0.153811,-7.549225,-84.21692,18.65548,76.58814,-0.079080,-0.906049,-0.019525,-0.329387,-0.153205,-0.834022,15.31763,nan,-0.495644,0.645548
-0.154206,-7.726746,-84.35620,18.79876,76.77019,-0.079896,-0.890770,-0.019881,-0.319929,-0.153596,-0.821159,15.35404,nan,-0.496357,0.643039
-0.154543,-8.055939,-84.76996,19.07156,77.26150,-0.080961,-0.861818,-0.021005,-0.302191,-0.153928,-0.796688,15.45230,nan,-0.497589,0.638941
-0.154622,-8.328949,-85.06424,19.28469,77.61961,-0.081793,-0.839184,-0.022413,-0.288047,-0.154007,-0.777646,15.52392,nan,-0.498569,0.635713
-0.154627,-8.512756,-85.18994,19.41683,77.78841,-0.082430,-0.825038,-0.023562,-0.278962,-0.154011,-0.765832,15.55768,nan,-0.499198,0.633489
-0.154359,-8.822235,-85.52591,19.64446,78.19534,-0.083165,-0.800835,-0.025745,-0.263594,-0.153747,-0.745517,15.63907,nan,-0.500193,0.630102
-0.153765,-9.198730,-85.95798,19.91166,78.71226,-0.083847,-0.772428,-0.028813,-0.245430,-0.153159,-0.721673,15.74245,nan,-0.501303,0.626270
-0.153518,-9.357208,-86.01782,20.00808,78.80848,-0.084314,-0.761858,-0.030258,-0.238330,-0.152916,-0.712929,15.76170,nan,-0.501765,0.624518
-0.153061,-9.580688,-86.17810,20.14780,79.01904,-0.084783,-0.746670,-0.032371,-0.228270,-0.152464,-0.700285,15.80381,nan,-0.502378,0.622249
-0.152431,-9.838287,-86.38507,20.30563,79.28321,-0.085226,-0.729498,-0.034931,-0.216859,-0.151841,-0.685978,15.85664,nan,-0.503020,0.619719
-0.151268,-10.22903,-86.78583,20.54284,79.76871,-0.085622,-0.703777,-0.038971,-0.199858,-0.150692,-0.664455,15.95374,nan,-0.503887,0.616125
-0.150206,-10.55862,-87.07776,20.72833,80.13148,-0.085931,-0.683286,-0.042548,-0.186124,-0.149642,-0.647333,16.02630,nan,-0.504545,0.613207
-0.149452,-10.79144,-87.21747,20.84734,80.32139,-0.086216,-0.669732,-0.045189,-0.176822,-0.148897,-0.636065,16.06428,nan,-0.504979,0.611170
-0.148922,-10.95877,-87.25775,20.92417,80.39818,-0.086502,-0.660609,-0.047153,-0.170386,-0.148372,-0.628542,16.07964,nan,-0.505295,0.609687
-0.147241,-11.39780,-87.67361,21.14626,80.90510,-0.086542,-0.635384,-0.052266,-0.153347,-0.146710,-0.607367,16.18102,nan,-0.506042,0.606491
-0.146349,-11.63651,-87.79993,21.25078,81.08145,-0.086665,-0.622801,-0.055170,-0.144575,-0.145827,-0.596882,16.21629,nan,-0.506457,0.604852
-0.144846,-12.01495,-88.10519,21.41813,81.46377,-0.086516,-0.602818,-0.059810,-0.130895,-0.144340,-0.580072,16.29275,nan,-0.507096,0.602842
-0.143909,-12.25781,-88.22208,21.51202,81.63054,-0.086467,-0.590887,-0.062903,-0.122512,-0.143412,-0.570092,16.32611,nan,-0.507539,0.601771
-0.142960,-12.50220,-88.33542,21.60173,81.79372,-0.086345,-0.579206,-0.066067,-0.114273,-0.142473,-0.560306,16.35874,nan,-0.508014,0.600948
-0.141386,-12.88940,-88.62054,21.74563,82.15536,-0.085791,-0.560740,-0.071086,-0.101469,-0.140915,-0.544692,16.43107,nan,-0.508846,0.600275
-0.140414,-13.13773,-88.72482,21.82449,82.30927,-0.085475,-0.549726,-0.074380,-0.093623,-0.139953,-0.535430,16.46185,nan,-0.509448,0.600052
-0.138981,-13.49512,-88.95352,21.93831,82.60744,-0.084716,-0.533962,-0.079070,-0.082579,-0.138534,-0.522047,16.52149,nan,-0.510429,0.600261
-0.138162,-13.71103,-89.00742,21.99442,82.70419,-0.084315,-0.525164,-0.081971,-0.076199,-0.137723,-0.514637,16.54084,nan,-0.511096,0.600552
-0.137345,-13.92801,-89.05884,22.04735,82.79845,-0.083849,-0.516548,-0.084890,-0.069924,-0.136914,-0.507370,16.55969,nan,-0.511823,0.601008
-0.135629,-14.36526,-89.35446,22.16367,83.17622,-0.082368,-0.498906,-0.090585,-0.057496,-0.135213,-0.492249,16.63524,nan,-0.513505,0.602590
-0.134377,-14.69604,-89.51993,22.23749,83.40395,-0.081189,-0.486437,-0.094865,-0.048526,-0.133973,-0.481569,16.68079,nan,-0.514971,0.604007
-0.133729,-14.88083,-89.52072,22.26648,83.44086,-0.080629,-0.480099,-0.097308,-0.043719,-0.133331,-0.476210,16.68817,nan,-0.515881,0.604807
-0.132511,-15.21548,-89.67801,22.32900,83.66024,-0.079226,-0.468276,-0.101508,-0.035132,-0.132124,-0.466017,16.73205,nan,-0.517667,0.606568
-0.131738,-15.43985,-89.71338,22.35995,83.73818,-0.078323,-0.460910,-0.104329,-0.029593,-0.131357,-0.459703,16.74764,nan,-0.518972,0.607777
-0.130572,-15.77850,-89.86218,22.41026,83.94888,-0.076659,-0.449757,-0.108407,-0.021424,-0.130201,-0.449999,16.78978,nan,-0.521117,0.609921
-0.129456,-16.11960,-90.00594,22.45321,84.15443,-0.074831,-0.439018,-0.112399,-0.013502,-0.129094,-0.440594,16.83088,nan,-0.523485,0.612280
-0.128152,-16.53983,-90.21936,22.50010,84.44233,-0.072293,-0.426271,-0.117105,-0.004139,-0.127802,-0.429298,16.88847,nan,-0.526725,0.615532
-0.127510,-16.77060,-90.24176,22.51190,84.50722,-0.070949,-0.419927,-0.119712,0.000781,-0.127165,-0.423713,16.90144,nan,-0.528657,0.617363
-0.126386,-17.19653,-90.44392,22.54161,84.78369,-0.067998,-0.408108,-0.124173,0.009582,-0.126049,-0.413056,16.95674,nan,-0.532500,0.621191
-0.125851,-17.43045,-90.46022,22.54402,84.84253,-0.066419,-0.402247,-0.126642,0.014210,-0.125519,-0.407793,16.96851,nan,-0.534775,0.623345
-0.125273,-17.70474,-90.50990,22.54597,84.94115,-0.064414,-0.395502,-0.129418,0.019490,-0.124945,-0.401657,16.98823,nan,-0.537607,0.626041
-0.124684,-18.02005,-90.59178,22.54549,85.07835,-0.061939,-0.387977,-0.132460,0.025358,-0.124361,-0.394714,17.01567,nan,-0.541057,0.629331
-0.124055,-18.41696,-90.73885,22.54156,85.29346,-0.058562,-0.378840,-0.136048,0.032440,-0.123737,-0.386128,17.05869,nan,-0.545713,0.633746
-0.123681,-18.73682,-90.81236,22.52773,85.42249,-0.055743,-0.372014,-0.138854,0.037907,-0.123366,-0.379639,17.08450,nan,-0.549747,0.637504
-0.123453,-19.01828,-90.84868,22.50825,85.50811,-0.053184,-0.366373,-0.141253,0.042550,-0.123140,-0.374215,17.10162,nan,-0.553485,0.640951
-0.123248,-19.46378,-91.01439,22.47987,85.74864,-0.048753,-0.357642,-0.144710,0.049579,-0.122936,-0.365588,17.14973,nan,-0.559798,0.646838
-0.123257,-19.70840,-91.01100,22.45055,85.78857,-0.046336,-0.353407,-0.146632,0.053296,-0.122945,-0.361370,17.15771,nan,-0.563482,0.650157
-0.123427,-20.15994,-91.16620,22.40478,86.01912,-0.041443,-0.345604,-0.149754,0.059841,-0.123114,-0.353338,17.20382,nan,-0.570670,0.656715
-0.123651,-20.40793,-91.15706,22.36596,86.05378,-0.038763,-0.341858,-0.151498,0.063310,-0.123336,-0.349430,17.21076,nan,-0.574849,0.660430
-0.124251,-20.86566,-91.30179,22.30277,86.27464,-0.033395,-0.334974,-0.154276,0.069397,-0.123931,-0.341978,17.25493,nan,-0.582955,0.667747
-0.124735,-21.11710,-91.28703,22.25447,86.30428,-0.030441,-0.331718,-0.155833,0.072632,-0.124412,-0.338369,17.26086,nan,-0.587635,0.671915
-0.125731,-21.53879,-91.39134,22.17986,86.47923,-0.025141,-0.326316,-0.158075,0.077790,-0.125400,-0.332152,17.29585,nan,-0.595829,0.679341
-0.125887,-21.58118,-91.22148,22.15389,86.32186,-0.024802,-0.326274,-0.158569,0.078375,-0.125555,-0.332125,17.26437,nan,-0.596679,0.679999
-0.126797,-21.87869,-91.23085,22.08949,86.38304,-0.020972,-0.322971,-0.160107,0.081875,-0.126457,-0.328161,17.27661,nan,-0.602754,0.685482
-0.128847,-22.43588,-91.41267,21.97496,86.65685,-0.013331,-0.317040,-0.162438,0.088015,-0.128490,-0.320659,17.33137,nan,-0.614691,0.696424
-0.130396,-22.78177,-91.44313,21.88901,86.74701,-0.008491,-0.313983,-0.163817,0.091664,-0.130027,-0.316518,17.34940,nan,-0.622447,0.703508
-0.133093,-23.30508,-91.58240,21.75899,86.97379,-0.000811,-0.309710,-0.165458,0.096844,-0.132701,-0.310337,17.39476,nan,-0.634702,0.714815
-0.134653,-23.56885,-91.54915,21.67896,86.98822,0.003076,-0.308053,-0.166310,0.099388,-0.134246,-0.307677,17.39764,nan,-0.641082,0.720680
-0.136925,-23.92261,-91.56857,21.57378,87.06968,0.008479,-0.305950,-0.167216,0.102643,-0.136498,-0.304090,17.41394,nan,-0.649873,0.728861
-0.139436,-24.27887,-91.58463,21.46270,87.14862,0.014029,-0.304153,-0.167974,0.105796,-0.138985,-0.300686,17.42972,nan,-0.658962,0.737303
-0.142187,-24.63773,-91.59738,21.34573,87.22520,0.019732,-0.302640,-0.168553,0.108825,-0.141708,-0.297432,17.44504,nan,-0.668352,0.746045
-0.145971,-25.09000,-91.65871,21.19626,87.36584,0.027112,-0.301051,-0.168954,0.112423,-0.145453,-0.293457,17.47317,nan,-0.680488,0.757429
-0.148035,-25.31766,-91.58742,21.10810,87.33853,0.030826,-0.300635,-0.169214,0.114233,-0.147495,-0.291824,17.46771,nan,-0.686748,0.763248
-0.151084,-25.63824,-91.56549,20.98886,87.37603,0.036177,-0.300068,-0.169312,0.116628,-0.150510,-0.289414,17.47521,nan,-0.695683,0.771643
-0.154822,-26.00723,-91.56599,20.84997,87.44449,0.042448,-0.299633,-0.169186,0.119240,-0.154204,-0.286720,17.48890,nan,-0.706169,0.781542
-0.159854,-26.47244,-91.61205,20.67324,87.57530,0.050492,-0.299410,-0.168679,0.122327,-0.159174,-0.283458,17.51506,nan,-0.719673,0.794297
-0.163600,-26.80084,-91.58131,20.53817,87.60757,0.056176,-0.299600,-0.168209,0.124420,-0.162871,-0.281430,17.52151,nan,-0.729392,0.803400
-0.169837,-27.32132,-91.64235,20.32858,87.76515,0.065303,-0.300053,-0.166878,0.127402,-0.169022,-0.278109,17.55303,nan,-0.745092,0.818124
-0.174102,-27.65552,-91.60530,20.18237,87.79411,0.071192,-0.300768,-0.165937,0.129271,-0.173224,-0.276310,17.55882,nan,-0.755360,0.827681
-0.179868,-28.08868,-91.61127,19.99378,87.88437,0.078885,-0.301912,-0.164379,0.131523,-0.178900,-0.274026,17.57687,nan,-0.768881,0.840183
-0.185291,-28.47699,-91.59096,19.81799,87.94180,0.085800,-0.303291,-0.162786,0.133450,-0.184232,-0.272205,17.58836,nan,-0.781198,0.851433
-0.190285,-28.81949,-91.54567,19.65709,87.96720,0.091915,-0.304802,-0.161233,0.135086,-0.189139,-0.270789,17.59344,nan,-0.792225,0.861400
-0.197767,-29.31314,-91.56245,19.42849,88.08369,0.100764,-0.307206,-0.158526,0.137212,-0.196480,-0.268752,17.61674,nan,-0.808352,0.875879
